season,game_type,week,gameday,home_team,away_team,home_score,away_score,location,stadium_id,stadium
2021,REG,1,2021-09-09,TB,DAL,31,29,Home,TAM00,Raymond James Stadium
2021,REG,1,2021-09-12,TEN,ARI,13,38,Home,NAS00,Nissan Stadium
2021,REG,1,2021-09-12,LA,CHI,34,14,Home,LAX01,SoFi Stadium
2021,REG,1,2021-09-12,KC,CLE,33,29,Home,KAN00,GEHA Field at Arrowhead Stadium
2021,REG,1,2021-09-12,NYG,DEN,13,27,Home,NYC01,MetLife Stadium
2021,REG,1,2021-09-12,NO,GB,38,3,Neutral,JAX00,TIAA Bank Stadium
2021,REG,1,2021-09-12,HOU,JAX,37,21,Home,HOU00,NRG Stadium
2021,REG,1,2021-09-12,WAS,LAC,16,20,Home,WAS00,FedExField
2021,REG,1,2021-09-12,NE,MIA,16,17,Home,BOS00,Gillette Stadium
2021,REG,1,2021-09-12,CIN,MIN,27,24,Home,CIN00,Paul Brown Stadium
2021,REG,1,2021-09-12,CAR,NYJ,19,14,Home,CAR00,Bank of America Stadium
2021,REG,1,2021-09-12,ATL,PHI,6,32,Home,ATL97,Mercedes-Benz Stadium
2021,REG,1,2021-09-12,BUF,PIT,16,23,Home,BUF00,New Era Field
2021,REG,1,2021-09-12,IND,SEA,16,28,Home,IND00,Lucas Oil Stadium
2021,REG,1,2021-09-12,DET,SF,33,41,Home,DET00,Ford Field
2021,REG,1,2021-09-13,LV,BAL,33,27,Home,VEG00,Allegiant Stadium
2021,REG,2,2021-09-16,WAS,NYG,30,29,Home,WAS00,FedExField
2021,REG,2,2021-09-19,TB,ATL,48,25,Home,TAM00,Raymond James Stadium
2021,REG,2,2021-09-19,MIA,BUF,0,35,Home,MIA00,Hard Rock Stadium
2021,REG,2,2021-09-19,CHI,CIN,20,17,Home,CHI98,Soldier Field
2021,REG,2,2021-09-19,LAC,DAL,17,20,Home,LAX01,SoFi Stadium
2021,REG,2,2021-09-19,JAX,DEN,13,23,Home,JAX00,TIAA Bank Stadium
2021,REG,2,2021-09-19,CLE,HOU,31,21,Home,CLE00,FirstEnergy Stadium
2021,REG,2,2021-09-19,BAL,KC,36,35,Home,BAL00,M&T Bank Stadium
2021,REG,2,2021-09-19,IND,LA,24,27,Home,IND00,Lucas Oil Stadium
2021,REG,2,2021-09-19,PIT,LV,17,26,Home,PIT00,Heinz Field
2021,REG,2,2021-09-19,ARI,MIN,34,33,Home,PHO00,State Farm Stadium
2021,REG,2,2021-09-19,NYJ,NE,6,25,Home,NYC01,MetLife Stadium
2021,REG,2,2021-09-19,CAR,NO,26,7,Home,CAR00,Bank of America Stadium
2021,REG,2,2021-09-19,PHI,SF,11,17,Home,PHI00,Lincoln Financial Field
2021,REG,2,2021-09-19,SEA,TEN,30,33,Home,SEA00,Lumen Field
2021,REG,2,2021-09-20,GB,DET,35,17,Home,GNB00,Lambeau Field
