game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,overtime,away_rest,home_rest,div_game,roof,surface,stadium_id,stadium
2014_01_GB_SEA,2014,REG,1,2014-09-04,Thursday,20:30,GB,16,SEA,36,Home,0,7,7,0,outdoors,fieldturf,SEA00,CenturyLink Field
2014_01_BUF_CHI,2014,REG,1,2014-09-07,Sunday,13:00,BUF,23,CHI,20,Home,1,7,7,0,outdoors,grass,CHI98,Soldier Field
2014_01_CAR_TB,2014,REG,1,2014-09-07,Sunday,16:25,CAR,20,TB,14,Home,0,7,7,1,outdoors,grass,TAM00,Raymond James Stadium
2014_01_CIN_BAL,2014,REG,1,2014-09-07,Sunday,13:00,CIN,23,BAL,16,Home,0,7,7,1,outdoors,sportturf,BAL00,M&T Bank Stadium
2014_01_CLE_PIT,2014,REG,1,2014-09-07,Sunday,13:00,CLE,27,PIT,30,Home,0,7,7,1,outdoors,grass,PIT00,Heinz Field
2014_01_IND_DEN,2014,REG,1,2014-09-07,Sunday,20:30,IND,24,DEN,31,Home,0,7,7,0,outdoors,grass,DEN00,Sports Authority Field at Mile High
2014_01_JAX_PHI,2014,REG,1,2014-09-07,Sunday,13:00,JAX,17,PHI,34,Home,0,7,7,0,outdoors,grass,PHI00,Lincoln Financial Field
2014_01_MIN_STL,2014,REG,1,2014-09-07,Sunday,13:00,MIN,34,STL,6,Home,0,7,7,0,dome,astroplay,STL00,Edward Jones Dome
2014_01_NE_MIA,2014,REG,1,2014-09-07,Sunday,13:00,NE,20,MIA,33,Home,0,7,7,1,outdoors,grass,MIA00,Sun Life Stadium
2014_01_NO_ATL,2014,REG,1,2014-09-07,Sunday,13:00,NO,34,ATL,37,Home,1,7,7,1,dome,fieldturf,ATL00,Georgia Dome
2014_01_OAK_NYJ,2014,REG,1,2014-09-07,Sunday,13:00,OAK,14,NYJ,19,Home,0,7,7,0,outdoors,fieldturf,NYC01,MetLife Stadium
2014_01_SF_DAL,2014,REG,1,2014-09-07,Sunday,16:25,SF,28,DAL,17,Home,0,7,7,0,closed,matrixturf,DAL00,AT&T Stadium
2014_01_TEN_KC,2014,REG,1,2014-09-07,Sunday,13:00,TEN,26,KC,10,Home,0,7,7,0,outdoors,grass,KAN00,Arrowhead Stadium
2014_01_WAS_HOU,2014,REG,1,2014-09-07,Sunday,13:00,WAS,6,HOU,17,Home,0,7,7,0,closed,grass,HOU00,NRG Stadium
2014_01_NYG_DET,2014,REG,1,2014-09-08,Monday,19:10,NYG,14,DET,35,Home,0,7,7,0,dome,fieldturf,DET00,Ford Field
2014_01_SD_ARI,2014,REG,1,2014-09-08,Monday,21:20,SD,17,ARI,18,Home,0,7,7,0,closed,grass,PHO00,University of Phoenix Stadium
2014_02_PIT_BAL,2014,REG,2,2014-09-11,Thursday,20:25,PIT,6,BAL,26,Home,0,4,4,1,outdoors,sportturf,BAL00,M&T Bank Stadium
2014_02_ARI_NYG,2014,REG,2,2014-09-14,Sunday,13:00,ARI,25,NYG,14,Home,0,6,6,0,outdoors,fieldturf,NYC01,MetLife Stadium
2014_02_ATL_CIN,2014,REG,2,2014-09-14,Sunday,13:00,ATL,10,CIN,24,Home,0,7,7,0,outdoors,fieldturf,CIN00,Paul Brown Stadium
2014_02_CHI_SF,2014,REG,2,2014-09-14,Sunday,20:30,CHI,28,SF,20,Home,0,7,7,0,outdoors,grass,SFO01,Levi's Stadium
2014_02_DAL_TEN,2014,REG,2,2014-09-14,Sunday,13:00,DAL,26,TEN,10,Home,0,7,7,0,outdoors,grass,NAS00,LP Field
2014_02_DET_CAR,2014,REG,2,2014-09-14,Sunday,13:00,DET,7,CAR,24,Home,0,6,7,0,outdoors,grass,CAR00,Bank of America Stadium
2014_02_HOU_OAK,2014,REG,2,2014-09-14,Sunday,16:25,HOU,30,OAK,14,Home,0,7,7,0,outdoors,grass,OAK00,O.co Coliseum
2014_02_JAX_WAS,2014,REG,2,2014-09-14,Sunday,13:00,JAX,10,WAS,41,Home,0,7,7,0,outdoors,grass,WAS00,FedExField
2014_02_KC_DEN,2014,REG,2,2014-09-14,Sunday,16:25,KC,17,DEN,24,Home,0,7,7,1,outdoors,grass,DEN00,Sports Authority Field at Mile High
2014_02_MIA_BUF,2014,REG,2,2014-09-14,Sunday,13:00,MIA,10,BUF,29,Home,0,7,7,1,outdoors,a_turf,BUF00,Ralph Wilson Stadium
2014_02_NE_MIN,2014,REG,2,2014-09-14,Sunday,13:00,NE,30,MIN,7,Home,0,7,7,0,outdoors,fieldturf,MIN98,TCF Bank Stadium
2014_02_NO_CLE,2014,REG,2,2014-09-14,Sunday,13:00,NO,24,CLE,26,Home,0,7,7,0,outdoors,grass,CLE00,FirstEnergy Stadium
2014_02_NYJ_GB,2014,REG,2,2014-09-14,Sunday,16:25,NYJ,24,GB,31,Home,0,7,10,0,outdoors,grass,GNB00,Lambeau Field
2014_02_SEA_SD,2014,REG,2,2014-09-14,Sunday,16:05,SEA,21,SD,30,Home,0,10,6,0,outdoors,grass,SDG00,Qualcomm Stadium
2014_02_STL_TB,2014,REG,2,2014-09-14,Sunday,16:05,STL,19,TB,17,Home,0,7,7,0,outdoors,grass,TAM00,Raymond James Stadium
2014_02_PHI_IND,2014,REG,2,2014-09-15,Monday,20:30,PHI,30,IND,27,Home,0,8,8,0,closed,fieldturf,IND00,Lucas Oil Stadium
2014_03_TB_ATL,2014,REG,3,2014-09-18,Thursday,20:25,TB,14,ATL,56,Home,0,4,4,1,dome,fieldturf,ATL00,Georgia Dome
2014_03_BAL_CLE,2014,REG,3,2014-09-21,Sunday,13:00,BAL,23,CLE,21,Home,0,10,7,1,outdoors,grass,CLE00,FirstEnergy Stadium
2014_03_DAL_STL,2014,REG,3,2014-09-21,Sunday,13:00,DAL,34,STL,31,Home,0,7,7,0,dome,astroplay,STL00,Edward Jones Dome
2014_03_DEN_SEA,2014,REG,3,2014-09-21,Sunday,16:25,DEN,20,SEA,26,Home,1,7,7,0,outdoors,fieldturf,SEA00,CenturyLink Field
2014_03_GB_DET,2014,REG,3,2014-09-21,Sunday,13:00,GB,7,DET,19,Home,0,7,7,1,dome,fieldturf,DET00,Ford Field
2014_03_HOU_NYG,2014,REG,3,2014-09-21,Sunday,13:00,HOU,17,NYG,30,Home,0,7,7,0,outdoors,fieldturf,NYC01,MetLife Stadium
2014_03_IND_JAX,2014,REG,3,2014-09-21,Sunday,13:00,IND,44,JAX,17,Home,0,6,7,1,outdoors,grass,JAX00,EverBank Field
2014_03_KC_MIA,2014,REG,3,2014-09-21,Sunday,16:25,KC,34,MIA,15,Home,0,7,7,0,outdoors,grass,MIA00,Sun Life Stadium
2014_03_MIN_NO,2014,REG,3,2014-09-21,Sunday,13:00,MIN,9,NO,20,Home,0,7,7,0,dome,sportturf,NOR00,Mercedes-Benz Superdome
2014_03_OAK_NE,2014,REG,3,2014-09-21,Sunday,13:00,OAK,9,NE,16,Home,0,7,7,0,outdoors,fieldturf,BOS00,Gillette Stadium
2014_03_PIT_CAR,2014,REG,3,2014-09-21,Sunday,20:30,PIT,37,CAR,19,Home,0,10,7,0,outdoors,grass,CAR00,Bank of America Stadium
2014_03_SD_BUF,2014,REG,3,2014-09-21,Sunday,13:00,SD,22,BUF,10,Home,0,7,7,0,outdoors,a_turf,BUF00,Ralph Wilson Stadium
2014_03_SF_ARI,2014,REG,3,2014-09-21,Sunday,16:05,SF,14,ARI,23,Home,0,7,7,1,closed,grass,PHO00,University of Phoenix Stadium
2014_03_TEN_CIN,2014,REG,3,2014-09-21,Sunday,13:00,TEN,7,CIN,33,Home,0,7,7,0,outdoors,fieldturf,CIN00,Paul Brown Stadium
2014_03_WAS_PHI,2014,REG,3,2014-09-21,Sunday,13:00,WAS,34,PHI,37,Home,0,7,6,1,outdoors,grass,PHI00,Lincoln Financial Field
2014_03_CHI_NYJ,2014,REG,3,2014-09-22,Monday,20:30,CHI,27,NYJ,19,Home,0,8,8,0,outdoors,fieldturf,NYC01,MetLife Stadium
2014_04_NYG_WAS,2014,REG,4,2014-09-25,Thursday,20:25,NYG,45,WAS,14,Home,0,4,4,1,outdoors,grass,WAS00,FedExField
2014_04_ATL_MIN,2014,REG,4,2014-09-28,Sunday,16:25,ATL,28,MIN,41,Home,0,10,7,0,outdoors,fieldturf,MIN98,TCF Bank Stadium
2014_04_BUF_HOU,2014,REG,4,2014-09-28,Sunday,13:00,BUF,17,HOU,23,Home,0,7,7,0,closed,grass,HOU00,NRG Stadium
2014_04_CAR_BAL,2014,REG,4,2014-09-28,Sunday,13:00,CAR,10,BAL,38,Home,0,7,7,0,outdoors,sportturf,BAL00,M&T Bank Stadium
2014_04_DET_NYJ,2014,REG,4,2014-09-28,Sunday,13:00,DET,24,NYJ,17,Home,0,7,6,0,outdoors,fieldturf,NYC01,MetLife Stadium
2014_04_GB_CHI,2014,REG,4,2014-09-28,Sunday,13:00,GB,38,CHI,17,Home,0,7,6,1,outdoors,grass,CHI98,Soldier Field
2014_04_JAX_SD,2014,REG,4,2014-09-28,Sunday,16:05,JAX,14,SD,33,Home,0,7,7,0,outdoors,grass,SDG00,Qualcomm Stadium
